Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C206, C207, C208, C225, C503, C511, C512, C520, C521, C525, C603, C610, C611, C612",C_0603,16,4.7u,C961503
"C204, C209, C217, C218, C501, C509, C522, C523, C601, C609",C_0402,10,1u,C525327
"C205, C210, C211, C213, C219, C502, C504, C507, C508, C519, C602, C604, C607, C608",C_0402,14,100n,C2874742
"C212, C505, C605",C_0402,3,100p,C327785
"C214, C506, C606",C_0402,3,820p,C147541
"C215, C216, C517, C518, C617, C618",C_0402,6,16p,C396888
"C220, C221, C513, C514, C613, C614",C_0402,6,~,
"C222, C515, C615",C_0402,3,1.2p,C363514
"C223, C516, C616",C_0402,3,1p,C363513
"C224, C524",C_0402,2,560p,C363544
"D301, D302, D303, D304, D305, D306, D307, D308, D309, D310, D311, D312, D313, D314, D315, D316, D317, D318, D319, D320, D321, D401, D402, D403, D404, D405, D406, D407, D408, D409, D410, D411, D412, D413, D414, D415, D416, D417, D418, D419, D420, D421",D_SOD-123,42,BAT43W,C130885
D601,0603,1,RED,C497930
"FB201, FB202, FB203, FB501, FB502, FB503, FB601",R_0603,7,FerriteBead_Small,C275454
"J201, J502",USB_C_Receptacle_USB4105,2,USB_C_Receptacle_USB2.0,C165948
"J203, J503",Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,2,LCD,C2919556
"J204, J504",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,2,Conn_01x02_MountingPin,
"J5_11, J5_10, J5_9, J5_8, J5_7, J5_6, J5_5, J5_4, J5_3, J5_2, J5",Breakaway_Tabs,11,Breakaway_Tabs,
J602,USB_A_1001-011-01101,1,USB_A,
"L201, L502",R_0603,2,10u,
"L202, L501",R_0402,2,47n,
"L203, L503, L603",R_0402,3,~,
"L204, L505, L605",R_0402,3,4.7n,C304335
"L205, L504, L604",R_0402,3,2.2n,C918998
"R101, R601",R_0402,2,1k,C258117
"R201, R202, R502, R503",R_0402,4,1M,C364860
"R203, R204, R504, R505",R_0402,4,5.1k,C188116
"R206, R506",R_0402,2,10k,C144807
"SW101, SW102",SSSS810701,2,SW_SPDT,C97433
"SW301, SW302, SW303, SW304, SW305, SW306, SW307, SW308, SW309, SW310, SW311, SW312, SW313, SW314, SW315, SW316, SW317, SW318, SW319, SW320, SW401, SW402, SW403, SW404, SW405, SW406, SW407, SW408, SW409, SW410, SW411, SW412, SW413, SW414, SW415, SW416, SW417, SW418, SW419, SW420",Kailh Choc Hotswap 1U,40,SW_Push,C5333465
"SW321, SW421",Kailh Choc Hotswap 1.5U,2,SW_Push,C5333465
SW601,SW_SPST_EVQP2,1,SW_Push,
"U201, U501, U601",QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,3,nRF52833-QDxx,C2895249 or C3007767
"U202, U502, U602",SOT-23-6,3,USBLC6-2SC6,C7519
"U203, U504",SOT-23-5,2,TPS70630DBVR,C2859817
"U204, U503",SOT-23-5,2,MCP73832-2-OT,C38066
"Y201, Y501, Y601",Crystal_4Pin_2.0x1.6mm,3,32 MHz,C648961
